HOST_NEIGHBOURHOOD_LGA,YEAR_MONTH,NUMBER_OF_DISTINCT_HOST,ESTIMATED_REVENUE,ESTIMATED_REVENUE_PER_HOST
Canterbury-Bankstown,2021-02-01,135,1797.870370,1633.207407
Parramatta,2020-05-01,21,8615.750000,9589.047619
Hunters Hill,2020-10-01,7,8374.285714,8374.285714
Hornsby,2021-01-01,3,1503.750000,2005.000000
The Hills Shire,2020-10-01,2,920.000000,1380.000000
Parramatta,2020-10-01,12,987.846154,2082.333333
Bayside,2020-09-01,35,1199.523810,1209.714286
Penrith,2020-11-01,6,13284.058824,14288.500000
Liverpool,2020-12-01,5,2290.000000,2290.000000
Canada Bay,2020-08-01,5,5376.000000,4806.000000
Fairfield,2020-07-01,3,4707.500000,6061.333333
Mosman,2020-05-01,4,9622.200000,12027.750000
Hornsby,2021-01-01,3,4825.000000,4825.000000
Mosman,2021-04-01,7,6552.142857,5995.000000
Randwick,2020-10-01,1,4140.000000,4140.000000
Randwick,2020-12-01,1,1500.000000,1500.000000
Blacktown,2021-02-01,2,381.500000,763.000000
Campbelltown,2021-01-01,1,53730.000000,53730.000000
Canterbury-Bankstown,2020-05-01,1,4500.000000,4500.000000
Penrith,2020-06-01,5,459.652174,2114.400000
Blacktown,2020-09-01,4,946.800000,1183.500000
Cumberland,2020-10-01,1,3270.000000,3270.000000
The Hills Shire,2021-04-01,2,840.000000,840.000000
Blacktown,2020-07-01,1,5670.000000,5670.000000
Hunters Hill,2020-05-01,1,70760.000000,70760.000000
Bayside,2020-08-01,321,1102.077244,1301.672897
Sydney,2020-10-01,1355,3130.476782,1939.302583
Northern Beaches,2020-09-01,721,8176.225464,8791.467406
Inner West,2021-02-01,639,2973.500627,1917.737089
Woollahra,2020-08-01,285,5322.386707,3830.119298
Georges River,2020-12-01,120,2867.572368,2836.258333
Waverley,2021-01-01,681,5940.675497,3502.950073
Mosman,2020-07-01,99,9125.598214,8759.383838
Sutherland Shire,2020-07-01,56,2499.301587,2399.928571
Randwick,2020-10-01,171,5210.405714,3699.479532
Lane Cove,2020-05-01,87,6989.325843,4887.931034
Canada Bay,2020-12-01,138,3613.148387,2885.637681
Inner West,2021-01-01,446,4152.450106,2023.181614
Waverley,2021-04-01,756,6242.244048,3589.878307
Northern Beaches,2021-02-01,669,8167.075924,7926.669656
North Sydney,2020-11-01,666,3931.119369,2695.545045
Sydney,2020-08-01,2126,4186.584410,1184.990593
Northern Beaches,2020-12-01,541,11071.849862,10943.918669
Sydney,2021-01-01,179,3754.375546,3908.111732
Canterbury-Bankstown,2020-10-01,56,2179.677419,1445.714286
Strathfield,2020-09-01,64,940.423077,1118.250000
North Sydney,2021-01-01,56,3156.383333,3180.946429
North Sydney,2021-02-01,75,3968.768293,3129.186667
Strathfield,2020-11-01,90,1346.726496,1427.911111
Woollahra,2020-10-01,142,10841.679487,10130.507042
Mosman,2020-06-01,147,8870.807018,7255.224490
Bayside,2020-10-01,51,3238.653846,2415.686275
The Hills Shire,2020-06-01,5,6564.600000,6564.600000
Woollahra,2021-03-01,327,5792.716279,6506.792049
Georges River,2020-06-01,96,2775.728814,2022.770833
Bayside,2021-01-01,176,2599.024390,2204.261364
Ryde,2020-10-01,16,2238.176471,2153.062500
Lane Cove,2020-07-01,38,7299.152174,7779.710526
Georges River,2021-01-01,23,1102.185185,1228.869565
Mosman,2020-08-01,74,4808.759259,6543.729730
Northern Beaches,2020-09-01,50,7525.259259,8031.280000
Canterbury-Bankstown,2020-06-01,128,2608.783784,1398.281250
Northern Beaches,2020-10-01,4,27292.500000,27292.500000
Strathfield,2021-01-01,24,2854.307692,2949.666667
Sydney,2020-07-01,884,3739.397372,3071.496606
Georges River,2020-05-01,89,2712.722222,1932.741573
North Sydney,2020-09-01,399,5071.048055,2684.531328
Willoughby,2021-01-01,79,10881.593023,10253.506329
North Sydney,2020-08-01,194,2487.452297,2997.309278
Georges River,2020-12-01,85,2111.288288,2421.235294
Canterbury-Bankstown,2020-08-01,14,817.722222,952.785714
Willoughby,2021-01-01,63,4394.253521,4098.126984
Burwood,2021-03-01,15,2259.894737,2662.533333
Burwood,2020-07-01,43,2059.929825,1840.372093
North Sydney,2020-12-01,8,4485.000000,4485.000000
Hornsby,2020-09-01,3,3684.000000,6140.000000
Strathfield,2020-07-01,28,2600.294118,2446.071429
Willoughby,2020-10-01,23,3443.043478,3201.739130
Strathfield,2021-01-01,30,2616.000000,2877.600000
Burwood,2021-01-01,31,1940.738095,2265.935484
Cumberland,2020-07-01,38,1763.233766,3449.473684
Willoughby,2021-03-01,122,9960.000000,8882.704918
Hunters Hill,2020-09-01,16,7261.875000,6708.750000
Fairfield,2021-03-01,2,4475.666667,6713.500000
Canterbury-Bankstown,2020-10-01,81,1080.068966,1224.716049
Willoughby,2020-08-01,27,3891.363636,4645.000000
Waverley,2021-04-01,62,6033.419355,5511.806452
Sutherland Shire,2021-01-01,19,4847.368421,4359.473684
Inner West,2021-04-01,4,3477.250000,3477.250000
Sutherland Shire,2021-01-01,12,4731.416667,4731.416667
Penrith,2020-12-01,4,19715.714286,18186.500000
Hunters Hill,2020-09-01,1,6000.000000,6000.000000
Sutherland Shire,2020-09-01,12,4816.153846,5217.500000
Fairfield,2020-08-01,3,809.538462,3477.000000
Willoughby,2020-09-01,9,2595.400000,2883.777778
Mosman,2020-08-01,4,7461.666667,11192.500000
Cumberland,2020-08-01,7,830.571429,830.571429
Cumberland,2020-09-01,8,979.272727,1346.500000
Parramatta,2020-09-01,10,3244.615385,4218.000000
North Sydney,2020-07-01,4,4500.000000,4500.000000
Woollahra,2020-05-01,1,6810.000000,6810.000000
Blacktown,2021-02-01,3,791.333333,791.333333
Fairfield,2020-05-01,3,1031.916667,4127.666667
Blacktown,2020-10-01,1,1500.000000,1500.000000
Campbelltown,2020-11-01,2,2420.000000,3630.000000
Liverpool,2021-02-01,1,1650.000000,1650.000000
Sutherland Shire,2021-04-01,1,1884.000000,1884.000000
Fairfield,2020-07-01,1,874.111111,7867.000000
Willoughby,2021-04-01,1,5490.000000,5490.000000
Campbelltown,2020-09-01,1,6870.000000,6870.000000
Inner West,2021-03-01,1,6000.000000,6000.000000
Canterbury-Bankstown,2020-08-01,147,879.220096,959.755102
Canterbury-Bankstown,2020-12-01,153,1682.618421,1587.196078
Sydney,2021-02-01,511,4285.352234,2823.982387
Sydney,2020-09-01,1711,2442.154194,2124.661601
Sydney,2020-05-01,2947,4772.703450,1204.674584
North Sydney,2020-09-01,146,4431.149068,3462.431507
Waverley,2020-10-01,1008,6220.008643,3551.308532
Northern Beaches,2020-10-01,299,7765.980716,6329.361204
Randwick,2020-10-01,440,5251.255624,3103.286364
Randwick,2021-03-01,1055,5053.332779,1910.792417
Burwood,2020-09-01,20,1620.200000,1416.250000
Inner West,2020-07-01,494,3970.314815,1379.008097
North Sydney,2021-02-01,322,3378.915433,3330.795031
Inner West,2020-10-01,315,4004.954023,2921.314286
North Sydney,2021-01-01,225,4866.419608,3778.742222
Willoughby,2020-12-01,145,3778.153110,4618.303448
Randwick,2021-01-01,612,5024.739323,2699.866013
Randwick,2020-07-01,373,3048.855649,3299.075067
Sydney,2021-04-01,1177,4492.362637,2681.729822
Bayside,2020-05-01,320,2048.658065,2091.484375
Burwood,2020-08-01,40,834.418367,1589.600000
Inner West,2020-05-01,958,4466.200000,1230.836117
Bayside,2021-02-01,316,3317.023747,1511.588608
Canada Bay,2020-10-01,39,3417.230769,3278.769231
Inner West,2021-04-01,388,4004.546318,2489.739691
Northern Beaches,2021-03-01,112,11592.861538,11086.357143
Northern Beaches,2020-05-01,206,6522.431452,6185.223301
North Sydney,2021-03-01,242,2918.841689,3548.301653
Ryde,2020-07-01,28,3332.088235,3262.892857
Woollahra,2020-09-01,135,11538.366906,10359.133333
Inner West,2020-08-01,26,1865.346154,1755.730769
Burwood,2020-07-01,21,1189.823529,1832.428571
Sydney,2021-01-01,893,4889.636920,3296.092945
Waverley,2021-01-01,639,7214.253501,5127.084507
Inner West,2020-07-01,328,2858.613793,2859.847561
Randwick,2020-06-01,419,2635.882979,2723.128878
Canada Bay,2021-01-01,52,5801.690909,5744.769231
Randwick,2021-04-01,219,5167.855469,3738.771689
Penrith,2020-07-01,1,1500.000000,1500.000000
Mosman,2021-02-01,90,11468.661157,12775.644444
Canterbury-Bankstown,2020-09-01,155,954.192308,1061.483871
Bayside,2021-04-01,115,4241.250000,2192.608696
Woollahra,2021-03-01,52,7474.859649,7380.134615
Hunters Hill,2020-05-01,20,9262.500000,8949.000000
Strathfield,2020-12-01,34,1847.850000,1880.705882
Cumberland,2020-10-01,15,1829.052632,1956.800000
Northern Beaches,2020-09-01,627,9515.417120,4505.162679
Sydney,2020-06-01,306,3244.737430,2471.617647
Canterbury-Bankstown,2021-01-01,52,1842.322581,1783.538462
Canada Bay,2020-10-01,41,3400.790698,3263.756098
Canterbury-Bankstown,2021-02-01,35,2519.675676,2502.457143
Mosman,2020-07-01,101,12724.208054,15481.762376
Ryde,2021-04-01,15,3410.833333,4093.000000
Cumberland,2020-10-01,20,3044.285714,2746.500000
Hunters Hill,2020-05-01,20,3876.700000,3872.700000
Liverpool,2020-10-01,1,1650.000000,1650.000000
Fairfield,2020-10-01,2,716.571429,2508.000000
Penrith,2020-08-01,1,1500.000000,1500.000000
Liverpool,2021-01-01,2,4233.750000,8467.500000
Cumberland,2020-12-01,1,7680.000000,7680.000000
Inner West,2020-12-01,7,1997.142857,1825.714286
The Hills Shire,2021-01-01,3,2672.888889,5452.666667
Penrith,2021-03-01,6,11000.260870,16902.000000
Parramatta,2020-05-01,1,0.000000,0.000000
Parramatta,2020-10-01,5,2131.428571,2984.000000
Blacktown,2020-05-01,1,3770.000000,3770.000000
Liverpool,2021-03-01,1,4200.000000,4200.000000
Mosman,2021-04-01,1,4200.000000,4200.000000
Liverpool,2020-07-01,1,1650.000000,1650.000000
Woollahra,2021-04-01,3,15710.333333,15710.333333
North Sydney,2021-03-01,1,4830.000000,4830.000000
