HOST_NEIGHBOURHOOD_LGA,YEAR_MONTH,NUMBER_OF_DISTINCT_HOST,ESTIMATED_REVENUE,ESTIMATED_REVENUE_PER_HOST
Canada Bay,2021-04-01,8,2118.000000,2118.000000
North Sydney,2020-10-01,151,4122.728723,4008.284768
Lane Cove,2021-04-01,22,6577.826087,3801.818182
Mosman,2020-10-01,19,13869.000000,13920.000000
Burwood,2020-08-01,47,2381.578947,2071.276596
Hunters Hill,2020-10-01,2,5790.000000,5790.000000
Blacktown,2020-10-01,1,1350.000000,1350.000000
Willoughby,2020-10-01,33,6613.235294,6431.818182
Bayside,2020-08-01,41,1597.913043,1418.146341
Strathfield,2021-01-01,23,1738.520000,1765.782609
Cumberland,2021-01-01,22,2814.321429,3377.318182
Inner West,2020-11-01,1438,3425.520893,1413.038248
Canada Bay,2020-09-01,83,1762.600000,1997.108434
Northern Beaches,2020-06-01,1045,8263.711340,3897.612440
Waverley,2021-04-01,484,4964.263704,5387.361570
Randwick,2020-10-01,280,5629.278523,4037.232143
Mosman,2021-01-01,34,12471.250000,20417.352941
Georges River,2021-03-01,69,1428.577778,1805.637681
Canterbury-Bankstown,2020-10-01,19,2886.315789,2657.368421
Northern Beaches,2021-01-01,79,12694.181818,16762.784810
Sutherland Shire,2021-01-01,44,3330.312500,3523.977273
Ryde,2020-09-01,27,3200.000000,2829.629630
Ryde,2021-04-01,25,2560.593750,3080.120000
Cumberland,2021-01-01,35,1617.500000,1941.800000
Ryde,2021-01-01,21,3675.076923,4435.809524
Mosman,2020-10-01,32,9252.187500,8727.187500
Parramatta,2020-07-01,17,2903.464286,5614.352941
Parramatta,2020-12-01,20,2497.481481,3357.600000
Strathfield,2021-04-01,17,2237.727273,2714.117647
Hunters Hill,2021-02-01,9,7143.333333,7143.333333
Canada Bay,2020-10-01,27,1041.586207,1111.703704
The Hills Shire,2020-10-01,3,6487.714286,14764.666667
The Hills Shire,2020-05-01,7,3973.375000,4541.000000
Northern Beaches,2021-04-01,2,3302.000000,3302.000000
Willoughby,2020-10-01,47,16365.294118,16856.170213
Penrith,2021-03-01,2,3024.500000,6049.000000
Hornsby,2020-07-01,4,3738.000000,4672.500000
Parramatta,2020-10-01,1,2100.000000,2100.000000
The Hills Shire,2020-11-01,7,6772.153846,12300.142857
The Hills Shire,2020-07-01,3,11405.571429,38846.000000
Burwood,2020-10-01,22,1231.514286,1740.818182
Liverpool,2020-08-01,6,1541.285714,3596.333333
Parramatta,2020-07-01,6,2227.250000,2969.666667
Mosman,2020-09-01,7,5844.428571,5201.571429
Liverpool,2020-09-01,5,2335.363636,5137.800000
Burwood,2020-10-01,5,2532.000000,2532.000000
Hunters Hill,2021-04-01,1,1800.000000,1800.000000
Mosman,2020-10-01,2,12481.000000,12481.000000
Burwood,2020-08-01,7,246.000000,351.428571
Northern Beaches,2020-05-01,2,7185.000000,7185.000000
Blacktown,2020-08-01,1,1450.000000,4350.000000
Cumberland,2021-01-01,3,2080.000000,2080.000000
North Sydney,2020-10-01,4,3105.000000,3105.000000
Penrith,2021-01-01,1,662.000000,662.000000
Sutherland Shire,2020-07-01,3,3770.000000,3770.000000
Blacktown,2020-12-01,2,865.000000,1297.500000
The Hills Shire,2021-03-01,3,5297.111111,14228.666667
The Hills Shire,2021-03-01,2,840.000000,840.000000
Blacktown,2020-10-01,1,1425.000000,2850.000000
Fairfield,2021-01-01,2,2208.000000,4416.000000
Waverley,2020-12-01,958,6610.733149,4365.362213
Georges River,2021-04-01,45,2733.380000,2778.422222
Inner West,2020-08-01,337,2666.248244,2226.670623
Cumberland,2020-10-01,17,2319.894737,2312.235294
Lane Cove,2021-04-01,46,2806.879310,3140.739130
Georges River,2021-04-01,55,1430.184211,1721.381818
Northern Beaches,2020-10-01,216,8647.774059,6004.712963
Randwick,2021-04-01,471,4638.937255,2649.851380
Inner West,2020-10-01,322,3645.489796,1873.518634
Willoughby,2020-12-01,130,8883.655405,8477.315385
Hunters Hill,2021-01-01,15,5299.875000,5653.200000
Sydney,2021-02-01,1974,4318.129928,1403.374367
Sutherland Shire,2020-08-01,58,2996.196970,3358.258621
Waverley,2020-05-01,282,5936.928814,4116.290780
Northern Beaches,2020-07-01,477,8913.939236,5270.104822
Northern Beaches,2021-04-01,360,9874.340323,13398.872222
Willoughby,2021-04-01,72,9262.756098,10132.722222
Burwood,2021-02-01,24,647.000000,1125.958333
Canada Bay,2021-03-01,71,2985.209302,2777.154930
Bayside,2021-04-01,186,2022.378182,2239.327957
Blacktown,2021-02-01,1,1450.000000,4350.000000
Lane Cove,2020-12-01,83,6171.646465,6532.566265
Georges River,2021-01-01,46,1880.235294,1993.304348
Waverley,2021-02-01,338,7488.432877,5518.204142
The Hills Shire,2021-01-01,2,42796.750000,85593.500000
Hunters Hill,2020-06-01,20,9265.500000,8950.500000
Northern Beaches,2020-05-01,696,9998.677379,3960.775862
Cumberland,2020-08-01,28,2587.058824,2721.428571
Georges River,2020-10-01,32,2497.026316,2810.531250
Canada Bay,2020-10-01,52,4059.807692,2940.576923
Mosman,2020-10-01,47,5539.411765,4711.914894
Burwood,2020-10-01,18,1453.045455,1505.944444
Cumberland,2021-02-01,34,2693.846154,2435.294118
Campbelltown,2020-07-01,2,3697.500000,3697.500000
Bayside,2020-06-01,388,1969.430976,1652.631443
North Sydney,2020-10-01,185,2849.154135,3468.270270
Liverpool,2020-06-01,7,2673.555556,5692.000000
Willoughby,2020-06-01,167,2172.852590,2431.574850
Cumberland,2020-09-01,38,2758.200000,2779.736842
North Sydney,2021-03-01,368,5173.004963,2774.486413
Woollahra,2020-05-01,110,6719.352941,6463.372727
Lane Cove,2020-06-01,106,2810.601307,3670.801887
Mosman,2021-01-01,78,10012.688172,10122.051282
Georges River,2020-09-01,100,2447.100775,2093.260000
Strathfield,2020-05-01,41,2548.947368,2151.951220
Ryde,2020-08-01,22,3099.583333,2571.363636
Burwood,2020-05-01,9,1769.727273,2163.000000
Lane Cove,2020-12-01,83,3751.145161,5276.192771
Burwood,2021-03-01,1,3870.000000,3870.000000
Sutherland Shire,2020-10-01,12,4360.166667,4360.166667
Georges River,2020-09-01,27,2512.533333,2502.814815
Bayside,2021-03-01,359,3607.327189,1446.852368
Penrith,2020-10-01,2,22785.333333,34178.000000
Canterbury-Bankstown,2020-08-01,7,2370.000000,2370.000000
Burwood,2021-04-01,29,2157.352941,2001.034483
Hunters Hill,2021-03-01,14,5837.142857,5537.142857
The Hills Shire,2020-08-01,4,440.250000,440.250000
Mosman,2021-04-01,35,14232.391304,15950.571429
Mosman,2021-02-01,32,10612.571429,11326.250000
Hornsby,2020-05-01,5,5652.000000,5652.000000
Fairfield,2020-09-01,2,2980.000000,3577.500000
Hornsby,2021-01-01,4,2678.400000,3348.000000
Northern Beaches,2020-07-01,4,4686.750000,4686.750000
Blacktown,2020-08-01,4,836.000000,1463.000000
Hornsby,2021-01-01,8,4456.125000,4456.125000
Parramatta,2021-04-01,5,3448.750000,5518.000000
Parramatta,2021-04-01,3,4040.000000,4040.000000
The Hills Shire,2020-10-01,1,50.000000,50.000000
Campbelltown,2021-01-01,1,53850.000000,53850.000000
Inner West,2020-05-01,3,8590.000000,8590.000000
Canada Bay,2020-12-01,2,4350.000000,4350.000000
Lane Cove,2020-05-01,5,8110.000000,8110.000000
The Hills Shire,2020-12-01,3,97694.666667,97694.666667
Camden,2021-02-01,1,1267.000000,1267.000000
Burwood,2020-10-01,1,297.000000,297.000000
Blacktown,2020-09-01,1,157.500000,315.000000
Willoughby,2020-10-01,2,481.000000,481.000000
Waverley,2020-12-01,1,8340.000000,8340.000000
Inner West,2020-10-01,5,1594.400000,1594.400000
Fairfield,2021-01-01,2,2280.000000,4342.500000
Campbelltown,2021-01-01,1,428.000000,428.000000
Campbelltown,2021-02-01,1,0.000000,0.000000
Willoughby,2021-03-01,1,3000.000000,9450.000000
Parramatta,2020-09-01,2,4555.500000,4555.500000
Sutherland Shire,2020-10-01,1,4480.000000,4480.000000
Fairfield,2021-04-01,1,217.000000,217.000000
Strathfield,2020-07-01,2,1238.000000,1238.000000
Randwick,2020-09-01,675,3867.418478,3113.014815
Sydney,2021-03-01,2495,4317.100594,1194.877355
Waverley,2020-06-01,3089,5703.474742,2009.616381
Mosman,2020-05-01,145,9791.274678,13415.510345
Sydney,2021-04-01,681,3478.115200,3539.311307
Sydney,2020-09-01,88,4153.967391,3365.397727
Cumberland,2020-07-01,34,2516.187500,2551.676471
Mosman,2020-10-01,54,8949.681818,9955.722222
Inner West,2021-04-01,527,4445.138241,1848.751423
Bayside,2021-02-01,235,2426.541311,2622.485106
Waverley,2021-02-01,1339,6366.569387,3765.387603
Strathfield,2021-03-01,49,685.457627,820.346939
Inner West,2020-06-01,464,2675.525890,2544.448276
Bayside,2020-05-01,113,2071.485507,1759.247788
Georges River,2020-06-01,121,2085.271739,2910.983471
Sutherland Shire,2021-01-01,25,4681.230769,4628.480000
Bayside,2020-07-01,224,1245.049563,1401.254464
Bayside,2020-10-01,154,988.015075,1164.331169
Woollahra,2021-01-01,338,5678.724518,4033.778107
Willoughby,2020-07-01,86,5056.541667,3987.534884
Bayside,2021-04-01,211,3006.887029,2130.549763
Waverley,2020-10-01,670,5683.155125,2739.608955
North Sydney,2020-10-01,154,4972.754491,3710.000000
Inner West,2020-08-01,713,4205.724317,1760.563815
Lane Cove,2021-03-01,70,7830.933333,7045.000000
Willoughby,2021-01-01,77,4874.666667,5404.337662
Hornsby,2020-10-01,8,1681.687500,3363.375000
Parramatta,2020-07-01,8,3364.363636,4626.000000
Mosman,2021-01-01,64,10876.207317,12666.703125
North Sydney,2020-05-01,313,2239.832990,2810.865815
Woollahra,2020-05-01,588,6852.704581,2616.789116
Willoughby,2021-01-01,33,2848.684211,3280.303030
Inner West,2021-02-01,181,3641.294416,2818.469613
North Sydney,2020-08-01,11,1606.727273,1606.727273
Georges River,2020-10-01,20,1079.185185,1381.900000
Penrith,2021-01-01,3,2060.000000,2060.000000
Cumberland,2021-02-01,7,5524.500000,7892.142857
Burwood,2021-02-01,46,2211.746032,2262.826087
Canada Bay,2021-02-01,60,3192.394366,3611.583333
Waverley,2020-09-01,39,3163.974359,2948.589744
North Sydney,2021-01-01,154,3821.730769,3120.642857
Sutherland Shire,2021-03-01,47,3845.000000,4404.000000
Cumberland,2020-08-01,49,1018.701031,1829.285714
Willoughby,2020-05-01,130,5730.814286,3678.876923
Lane Cove,2021-01-01,52,3878.474576,3898.653846
Canada Bay,2020-08-01,9,3062.666667,2762.666667
Blacktown,2020-07-01,2,7934.666667,11902.000000
Willoughby,2020-10-01,90,4019.897196,4238.155556
Georges River,2020-10-01,47,2640.727273,2381.702128
Parramatta,2021-04-01,12,2189.848485,4654.833333
Strathfield,2020-05-01,59,2493.986842,1614.627119
Parramatta,2021-02-01,18,2174.607843,4831.444444
Camden,2021-04-01,1,5940.000000,5940.000000
Penrith,2020-10-01,6,10200.461538,11632.666667
Blacktown,2020-06-01,6,505.777778,758.666667
Strathfield,2020-10-01,8,2356.666667,2576.250000
Cumberland,2020-10-01,39,541.767857,750.230769
Liverpool,2020-10-01,3,1888.500000,2518.000000
Liverpool,2021-02-01,2,2161.000000,2161.000000
Cumberland,2020-09-01,19,2547.500000,2308.947368
Hornsby,2021-02-01,5,4166.250000,6666.000000
Sutherland Shire,2020-07-01,13,6055.384615,5686.153846
Fairfield,2021-01-01,1,480.000000,480.000000
